,index,date_uuid,user_uuid,card_number,store_code,product_code,1,product_quantity
5,5,c3a1df8f-6918-4795-9f8a-6869b2cda9cf,53d21f46-1fa4-452f-a023-26aee2aae4d6,3506661913512980,WEB-1388012W,g3-7974400s,,2
8,8,38ebd7b6-b1d4-462e-bfd7-265e3674ef3f,02de2416-4baf-42ad-bae6-d716eca0fc3f,6011037917693140,WEB-1388012W,i4-2651057I,,5
11,11,2e78a288-31c6-4a2a-8aea-cb93ad389aaa,bf86d13b-882b-485e-addd-0c4e9a39a96c,6502495513721380,WEB-1388012W,S6-3678717g,,1
13,13,07248e1a-da56-4e94-8510-a9a47f80e0e2,196c8554-5df5-4519-973c-e05c0781cf52,371493449732930,WEB-1388012W,t5-7763922W,,6
25,25,33c0fd7f-1d17-4b2a-9589-2e9d0c3ac8a3,10730690-b150-4328-83c9-023d594e9215,370629659061970,WEB-1388012W,w4-86578A,,4
26,26,fa27f9b3-6a48-4f2e-b493-93ff7b9c57c5,be05cc7e-01f8-47a8-9b38-7ec396c41802,3565388078802970,WEB-1388012W,E4-7336898r,,2
28,28,b7842a67-a6c7-4172-8b14-fd2da5bbf84b,4b0ff74b-8247-45e4-9d04-41b0a81be3e6,3510326851192930,WEB-1388012W,k6-93543H,,15
31,31,9aa479b6-6d12-4368-ae8b-c9d4f585dacf,c4e8899f-a2c2-4bb6-98d0-58fc3a23c412,2297205767081190,WEB-1388012W,t8-6507415K,,3
42,42,9f740e23-6eb8-465e-b421-6460706aa6b7,5e9eb81e-65b2-4847-9143-f2f7be6da2c3,60457486839,WEB-1388012W,q5-6488109e,,5
49,49,2feecc4f-94b5-4ce3-aeb7-981e7570fd93,43fe9e5e-3043-4e26-b84d-e5e6b0a77682,676119752563,WEB-1388012W,r8-2771125H,,5
54,54,990bd8ef-6950-4904-ba41-14c24df3ff7f,22a8741b-2873-4614-9588-defa6f59bf91,676231685725,WEB-1388012W,U7-7575064z,,7
58,58,631ff827-e96e-4870-8ac2-89614a4d902e,2c9a9750-4bb1-4345-a1ff-8509d454afe3,581681339767,WEB-1388012W,Y4-5527416w,,1
59,59,1087bd7e-b4bf-423e-9c38-6cdcccf57a7c,987c3c19-8d33-43b6-b424-b54dfe995c72,180083117707156,WEB-1388012W,R8-9508754b,,15
79,79,0e6bb013-99e7-46b3-bbdc-dc3979011608,e4911368-cddc-4226-9f2e-c2f638ed900b,3575217498720440,WEB-1388012W,q6-6969580o,,6
84,84,3b7ca996-37f9-433f-b6d0-ce8391b615ad,6fca961b-aae0-4d95-9eb9-c31494b05f2e,346534852323501,WEB-1388012W,j5-153373x,,1
88,88,21578566-1205-4bf9-ad8f-4f323d68cb0a,720b227e-e03c-42c5-a5b2-8ede8755ce72,3503307442630630,WEB-1388012W,y2-5766330U,,4
89,89,35a64040-e166-4882-95f7-2e8da0a96c68,0bdd7e22-5a88-4f12-813a-ba47d73b8f2d,575350944766,WEB-1388012W,j7-2855024l,,1
98,98,b063b7b5-3b00-4c86-9df2-323695311e20,adb4bfee-9625-40f8-aaa7-53e54b58f274,4537616359009030000,WEB-1388012W,c8-3806111Y,,6
120,120,2d675516-b446-4717-a7cd-84c760c1cee1,3a730917-05ec-4ce1-a8f4-8a1d9ef0f6fa,4546958607493620,WEB-1388012W,v5-7518429i,,3
143,143,8e49a85b-02a0-41b4-98c3-0dca6bd12a1c,8898e1ed-3c10-4d4a-990a-59dc22720fda,30382459793101,WEB-1388012W,S2-7206822M,,3
147,147,c4dbb2f1-91cc-493a-a12d-fb7841ed3cdb,e069b030-8a24-41af-ba67-ab8c83d6af5a,379544388859480,WEB-1388012W,F4-2643775U,,2
162,164,c83f6b2c-3d9c-4231-a7a8-9ad86d9b31a3,e07ca89c-b0cd-4371-8671-baa63255cd34,38586217093206,WEB-1388012W,L2-5103587f,,4
163,165,f45d24b5-a35e-402a-990e-b2db193baeee,d437405d-6960-4e0d-8f76-d6896b50fc5a,4156466200099530,WEB-1388012W,f7-6864343R,,1
167,169,7ea35756-eadf-436a-8402-0b254e4ccd9e,b7e23ea2-57d8-4881-b186-699f4b749aef,6011032421324050,WEB-1388012W,H9-4594365F,,5
175,177,f6cfa152-f56b-47e5-842f-b10e059e2cc0,def783be-20f0-4855-b27c-e218959759d1,343307985261408,WEB-1388012W,b2-7291750N,,3
193,194,3c039896-5903-4393-bea5-9fadfbbffc74,810e632c-2547-4ca6-a1ec-d8a14aac9d42,501881998865,WEB-1388012W,V6-5604094m,,3
203,204,5ef2ae2b-2f9b-43e4-8d08-1c7735b93a21,f984c5ae-e521-4bbd-a716-b13c1842020c,30194742669430,WEB-1388012W,I2-5693817b,,3
212,213,9929d49e-83ed-4d33-bdd3-9adac8fae0cc,5307e455-8abe-407a-99d3-5a95d43828c4,5474744710901440,WEB-1388012W,Q1-1813216e,,4
221,222,654c1024-f6ac-42e6-bec9-2dcf17f4e16c,5b552e0c-5370-4056-a47c-7ecabe5af36d,3564633851338810,WEB-1388012W,q2-2771765e,,1
252,253,ab2894ce-d910-4684-81f4-c8ba915ed3d2,ef4a2523-5c26-434b-b616-3cc784a3aa28,502039128959,WEB-1388012W,N5-2042057y,,3
253,254,94ebb831-f382-4518-8277-7f7f7cb3394b,4b5716f2-4b5f-492f-8325-6f7c703f9bbc,5250978159702590,WEB-1388012W,X2-9953964y,,1
258,259,305e9c78-bba1-4f3e-a7bf-8a05f0711d3a,1341d972-ffbf-4f19-9f9b-073c60f3c083,3531394303686360,WEB-1388012W,O6-4346558g,,1
260,261,882c9bee-d32a-480b-ab3d-cb66581ba971,4bf7fdca-397d-4a50-bdb5-02fefdfd9a9c,4798266457279,WEB-1388012W,M4-3815928A,,3
266,267,f48b0ead-3a6b-4c59-9294-8e136a50f1e1,13dffd73-6c08-48d5-8651-476673f3fa2d,3509542577486750,WEB-1388012W,v6-913651s,,3
268,269,44e7e82a-6951-482a-a7a8-89fffd710d72,e9936f30-d2cf-493e-84d3-7d4a3e644541,4778491402480,WEB-1388012W,u5-5744269p,,5
277,278,08289547-f059-4cb2-8f9a-fdf00655e997,1a7e2022-82f4-4f6d-b0d1-1b2997cdc615,6011175345214370,WEB-1388012W,m0-0281207X,,2
284,285,0246f527-6b36-4519-a54e-af6da59db7eb,60015298-88f7-475f-a018-70f3eec9b926,2239755029497130,WEB-1388012W,T4-8496019A,,8
288,289,94ebeab3-0795-42e4-bb57-d09cfda4c5e7,55d621dd-a2ba-4ba5-9202-b1f21c9eb7f4,213133126815481,WEB-1388012W,z5-7457108h,,12
295,296,01bf03a5-2738-4e47-915c-d2f90d2b4ff5,12640771-df4b-4e7c-b358-1f342b028acb,4843336241438240,WEB-1388012W,K2-5278453r,,2
297,298,116cdc25-2311-4242-91be-19ec65d96c3d,ed42794f-bc7c-4526-bf12-4a536c689936,3534039557891860,WEB-1388012W,M4-1688574Q,,3
300,301,23144443-93d0-4040-8447-e375c83c7a80,0749c2cb-465f-4088-95b2-9dc1ad748b54,4953143072786900,WEB-1388012W,C5-0179057G,,4
305,306,0d72066b-2931-4b73-9e2a-3fd3215c319f,dc76556d-ba5f-4525-afc9-2d8f530e8130,30003676497983,WEB-1388012W,l1-2836416D,,4
306,307,5ba87c2d-626f-448c-b5b0-000d337c39c4,4491a930-743c-48a2-9f3c-4b18377bede7,180049432732427,WEB-1388012W,U4-1666619v,,3
307,308,c5951f49-6c54-4276-85fd-3914699138d3,8fdf41c7-16ab-4dd3-acda-411f9f54ca52,4622297557774960,WEB-1388012W,y0-901417t,,4
311,312,2fd1039b-b702-475e-9342-e378eee7c57e,b069aa6d-0957-4539-99f7-5462023351a2,5586003885783590,WEB-1388012W,X7-442535f,,1
312,313,4a94d8c0-64ca-41c0-b276-b97f82e5e7c8,efd0421e-690f-4962-83c7-84aa44bc9fd0,3508922970002280,WEB-1388012W,t1-9172271B,,8
315,316,09963ca6-949c-4717-8a8f-d700f46e61ac,afbaf358-e5ab-417e-9410-a3a94b7dd6ea,349777704175572,WEB-1388012W,F5-1975931X,,8
320,321,5be167ae-a67e-430e-b852-51d6d3329aa2,5361d0b3-787f-498e-9539-aa7fd93bf408,4608461645133,WEB-1388012W,Z8-5221465y,,4
322,323,7f747bfc-d79c-4cb2-8349-094e4aee3b49,5b96f7c1-2ec5-4e2b-9a8f-fc3c3c70012d,36430570495884,WEB-1388012W,C8-4996347O,,1
331,332,f4d5993c-eeae-428d-8e9c-a3c44a5ef224,3eea2678-959f-4eb3-a2a4-c8020f89249b,6011982654011120,WEB-1388012W,H7-080976g,,1
333,334,bd5eb91c-5e65-4e75-bef7-f2d51773511c,82ae8d2c-5213-49c2-ab75-1ab7bc3c8fa0,180013014202092,WEB-1388012W,n1-391116G,,2
335,336,3b316f58-523c-4c14-a5b7-d2afccd44227,18c6a756-4759-4c12-ad6e-752b6b833d22,3508505361552920,WEB-1388012W,n9-4696709X,,3
361,362,90e4ead8-875d-4a50-b8d9-c678f6b11bf1,b311f048-4686-4b0b-97e9-697323974b9a,4260209639187020000,WEB-1388012W,T4-1104968U,,3
378,379,3e85cc2b-40fc-4785-89f7-805ef1894877,d0be7f87-2aab-4087-892b-2491f2f9586c,30313916974067,WEB-1388012W,f5-6735348f,,13
381,382,8263d962-e219-4113-a644-217dfa4b704f,6cc7ea54-13cc-4306-a719-64bf0395d3c2,180056746770795,WEB-1388012W,s3-7992277H,,5
385,386,f2d15b56-600f-44b9-94ac-bf6ecd464c30,34e23d50-011a-4fcb-be80-870bec03cc7f,4127304499740520000,WEB-1388012W,T7-4222800v,,3
387,388,d60239c8-38ca-4b28-9ec1-cbb22048485e,88adc5a3-748e-4024-bd18-343fe35326d6,503863523463,WEB-1388012W,q4-3392016N,,7
388,389,9588f59e-7f55-47c4-acff-921092cc5a18,1c22c303-05e6-47e0-9750-b5a704a2a4b8,4312271503232,WEB-1388012W,P7-2304998Q,,3
398,399,422b0214-e6a1-4850-9744-1e38e51500ad,86f78a3a-9be1-4ba2-bb88-4cef243c7fe6,345835107861836,WEB-1388012W,w5-905217P,,1
400,401,25d5fd70-78f1-47e8-982f-d17e6a8afbce,3089a16d-2d63-4f72-a431-7fd85b6de1a9,3528870773658970,WEB-1388012W,a9-1967701W,,1
407,408,abe76d4d-d0d7-4a5a-9ccc-32846f68aedf,90299f4e-f61d-4bde-9dd2-588e41e19df3,213190391399658,WEB-1388012W,f8-5794097n,,1
418,419,58321130-6f64-4cc9-9bb2-590d4c77a246,8caab18b-590c-42d9-a248-4b0f1e6919cb,3598597514803400,WEB-1388012W,G1-4403469C,,4
424,425,c2b44d32-80f3-4217-b4e5-12e106774c19,369fb28f-995b-4e53-ad61-1d86578c28ac,6011502878617980,WEB-1388012W,P6-0138197F,,3
425,426,1d3b988c-8c7d-4d08-a8e0-f73fad4fcf37,76849def-6aa4-450b-8983-102f11105831,676348808525,WEB-1388012W,X6-4642306Z,,2
442,443,6b483680-8634-452d-9946-17420966b02d,63147266-22ba-45b2-90ec-c00460de5c5b,5584053145977860,WEB-1388012W,V8-3409050q,,6
450,451,aa3568fe-cf29-46ce-85f5-66290e97ad11,6a238590-d0d3-41e5-a8ad-8c5818fbb7cf,4713013410398,WEB-1388012W,s2-7949443j,,4
457,458,5c8d24f4-9877-400a-8604-986a3e4a17c0,18ddc353-e047-42fb-afae-558ab9889c94,676177801104,WEB-1388012W,P9-9428517O,,1
458,459,160e0142-ce28-4c01-8a5e-e82506fc199b,86a2c00c-661f-41a6-9ec8-d8d653002002,4403635376943820,WEB-1388012W,B7-9609975L,,1
472,473,33e4fb3b-6485-429c-99f1-f2f855c6dd2e,bfe314f8-a22a-4e01-8b1f-e5ce59968fcd,3572264455630580,WEB-1388012W,V2-1615331d,,3
473,474,2581e305-7500-4aad-b1f3-810d23b2997e,89fa1e27-94ff-4afd-b1e5-98f2e10fcad6,6011061367133790,WEB-1388012W,C2-3532371K,,2
